                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   85.5   94.8  12:51   80.1  18:55    0.0   20.5   0.03    5.7   16.5  15:19    231
 02   85.7   91.9  12:53   81.3  03:35    0.0   20.7   0.00    6.7   14.5  11:13    217
 03   83.4   91.2  11:43   77.5  20:29    0.0   18.4   1.06    5.8   26.8  22:58    192
 04   82.9   91.4  12:44   77.9  08:12    0.0   17.9   0.37    9.4   36.0  02:13    215
 05   84.9   93.4  13:30   80.2  23:40    0.0   19.9   0.05    3.8   10.9  10:54    213
 06   83.2   91.6  10:40   79.9  00:10    0.0   18.2   0.00    3.3   11.9  15:35    219
 07   82.6   90.7  15:02   77.0  06:26    0.0   17.6   0.00    3.2   10.9  15:46    220
 08   83.0   92.7  11:55   76.3  07:00    0.0   18.0   0.00    3.3   10.4  16:35    229
 09   83.2   91.2  13:05   76.6  06:45    0.0   18.2   0.06    2.7    9.9  13:31    216
 10   83.7   91.2  13:29   77.4  03:15    0.0   18.7   0.00    2.9   11.4  13:15    214
 11   85.0   91.8  12:53   79.3  06:57    0.0   20.0   0.00    4.5   11.9  14:47    212
 12   84.5   91.0  12:10   78.4  05:21    0.0   19.5   0.00    4.9   14.5  17:24    200
 13   81.1   87.8  11:10   78.1  12:56    0.0   16.1   0.11    4.3   20.6  12:56    214
 14   82.2   90.1  16:43   76.5  03:50    0.0   17.2   0.00    2.5   13.5  15:06    234
 15   80.9   86.9  13:14   76.3  06:10    0.0   15.9   1.98    4.1   17.0  06:02    220
 16   79.8   87.0  13:35   76.0  23:55    0.0   14.8   0.59    3.2   12.4  00:30    253
 17   79.2   88.1  15:10   73.7  06:20    0.0   14.2   0.03    3.0    9.3  10:40    317
 18   81.2   90.6  14:35   74.3  05:40    0.0   16.2   0.02    2.8   10.9  13:05    219
 19   78.1   82.7  15:25   70.4  10:30    0.0   13.1   1.99    2.0   10.4  09:55    201
 20   79.0   86.9  15:15   73.9  03:25    0.0   14.0   0.00    1.8    8.3  16:30     93
 21   80.6   87.1  13:47   75.0  03:06    0.0   15.6   0.00    2.8   10.9  23:26    201
 22   82.7   89.4  11:55   77.0  05:58    0.0   17.7   0.54    3.8   11.9  14:12    226
 23   81.4   90.5  11:55   77.4  00:00    0.0   16.4   0.00    1.1    6.3  00:05    255
 24   81.9   89.7  13:10   75.9  05:50    0.0   16.9   0.00    3.1    9.9  21:25    219
 25   83.1   90.1  14:38   78.4  05:27    0.0   18.1   0.00    3.0   11.4  09:10    238
 26   82.2   91.8  12:48   73.0  23:55    0.0   17.2   0.00    2.7   11.9  11:22     51
 27   82.4   90.7  12:55   72.7  00:23    0.0   17.4   0.00    4.5   15.0  23:45    229
 28   86.5   93.9  11:32   81.3  07:23    0.0   21.5   0.00    4.8   15.5  17:37    234
 29   86.4   91.9  09:59   79.5  20:02    0.0   21.4   0.13    8.0   23.2  13:45    231
 30   84.1   91.2  12:08   79.7  23:44    0.0   19.1   0.00    3.8   12.4  13:02     74
 31   84.2   90.3  13:08   79.0  01:08    0.0   19.2   0.01    4.6   15.5  08:37     94
---------------------------------------------------------------------------------------
      82.8   94.8     01   70.4     19    0.0  549.8   6.97    4.0   36.0     04    217
    
