                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   46.6   53.8  13:33   35.2  23:54   18.4    0.0   0.00    4.1   18.1  03:43    254
 02   39.7   52.5  14:51   31.5  04:28   25.3    0.0   0.00    1.8    9.3  10:33    297
 03   42.5   59.0  12:52   29.5  06:46   22.5    0.0   0.00    1.2    7.8  13:32    213
 04   57.4   72.0  13:21   39.9  00:05    7.6    0.0   0.15    4.0   20.1  23:11    199
 05   54.2   64.8  01:23   40.6  23:53   10.8    0.0   0.16    4.1   22.7  01:51    282
 06   44.8   55.6  13:28   35.1  06:37   20.2    0.0   0.00    1.6    9.9  13:16    270
 07   46.9   54.3  13:02   36.5  23:54   18.1    0.0   0.22    3.3   15.5  23:36    346
 08   37.9   49.1  14:25   30.4  07:06   27.1    0.0   0.00    2.8   12.9  00:40    312
 09   42.9   55.6  14:32   28.8  06:45   22.1    0.0   0.00    2.5   12.4  12:34    256
 10   47.7   60.1  12:56   35.6  07:18   17.3    0.0   0.00    3.2   11.9  10:48     39
 11   58.1   72.0  13:22   46.0  00:00    6.9    0.0   0.00    2.7    8.3  02:52    121
 12   61.5   70.3  13:11   56.5  07:25    3.5    0.0   0.07    1.4    6.8  21:38    202
 13   63.2   69.6  15:04   58.3  23:55    1.8    0.0   0.17    2.0    7.3  09:32    228
 14   57.0   72.5  11:07   42.8  23:59    8.0    0.0   0.06    5.0   20.6  14:42    270
 15   44.1   49.1  11:32   39.0  06:01   20.9    0.0   0.00    7.5   18.6  18:49     39
 16   54.9   65.5  14:36   47.3  00:10   10.1    0.0   0.62    6.6   18.1  00:12     50
 17   43.8   50.5  13:10   38.3  23:55   21.2    0.0   0.00    3.5   11.9  03:56    343
 18   41.0   50.4  12:35   33.3  22:35   24.0    0.0   0.00    3.5   14.0  12:39    339
 19   39.4   51.4  14:27   29.1  05:55   25.6    0.0   0.00    2.1    9.3  09:46     41
 20   46.5   53.4  11:10   38.3  00:05   18.5    0.0   1.26    2.7   11.9  13:15     13
 21   48.4   55.0  11:51   43.5  18:42   16.6    0.0   0.08    2.9   15.0  23:16    293
 22   48.0   60.1  12:03   35.1  23:27   17.0    0.0   0.00    3.0   15.5  13:02    293
 23   48.1   60.6  22:56   33.8  04:56   16.9    0.0   0.00    3.1    9.9  22:59     53
 24   64.6   68.7  11:01   60.1  00:15    0.4    0.0   2.19    9.6   35.0  21:21    197
 25   43.2   60.8  00:00   29.1  23:57   21.8    0.0   0.04    5.5   25.8  05:21    247
 26   32.3   45.3  14:49   25.3  03:49   32.7    0.0   0.00    1.8   10.4  11:18    306
 27   40.0   53.4  13:21   27.7  03:08   25.0    0.0   0.00    1.7    7.3  14:33     72
 28   49.2   61.9  12:41   37.8  07:02   15.8    0.0   0.00    1.7   11.4  14:24    234
 29   46.3   54.0  11:47   39.9  23:55   18.7    0.0   0.00    5.1   16.5  12:49     37
 30   50.4   64.6  14:54   36.5  05:10   14.6    0.0   0.00    4.7   11.9  21:43    113
 31   64.5   70.2  11:34   59.2  00:13    0.5    0.0   0.08    5.9   14.0  11:27    208
---------------------------------------------------------------------------------------
      48.6   72.5     14   25.3     26  509.6    0.0   5.10    3.6   35.0     24    277
    
