                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   79.9   87.4  13:00   73.8  05:42    0.0   14.9   0.00    3.6   14.2  15:04    206
 02   78.7   90.5  16:41   71.1  03:45    0.0   13.7   0.45    4.3   25.0  00:17     15
 03   81.5   93.7  15:40   71.1  04:15    0.0   16.5   0.01    3.1   14.2  11:06    272
 04   83.0   95.2  12:58   73.9  06:16    0.0   18.0   0.00    3.3   20.9  21:16    249
 05   81.3   89.6  11:31   76.1  05:20    0.0   16.3   0.00    2.2   15.1  13:04    142
 06   81.3   88.5  10:43   73.6  05:55    0.0   16.3   0.00    4.4   17.6  17:56    200
 07   79.6   86.0  10:19   74.7  05:40    0.0   14.6   0.06    4.9   24.2  12:43    203
 08   78.6   84.2  17:09   74.7  00:35    0.0   13.6   0.18    6.0   25.0  23:57    147
 09   80.8   87.8  15:24   75.7  03:15    0.0   15.8   0.18    7.4   28.3  17:18     45
 10   80.7   87.3  11:04   73.9  05:43    0.0   15.7   0.00    5.7   17.6  16:59    224
 11   82.7   90.1  14:23   76.1  06:10    0.0   17.7   0.00    6.3   21.7  15:40    224
 12   85.0   92.3  12:31   79.9  06:23    0.0   20.0   0.00    6.6   23.4  16:20    218
 13   82.6   91.2  13:32   71.8  17:47    0.0   17.6   0.20    6.3   23.4  15:17    227
 14   84.4   94.1  12:10   76.1  06:20    0.0   19.4   0.01    3.9   14.2  01:06    203
 15   84.3   93.2  11:52   77.4  05:55    0.0   19.3   0.00    5.4   23.4  15:53     75
 16   82.9   93.2  14:27   75.6  02:45    0.0   17.9   0.01    5.7   22.5  14:08     70
 17   84.3   93.9  11:39   75.6  03:40    0.0   19.3   0.00    3.6   10.1  09:04    207
 18   85.8   93.9  12:08   77.0  06:14    0.0   20.8   0.00    4.6   14.0  16:35    228
 19   86.9   94.1  13:06   82.4  06:17    0.0   21.9   0.00    5.7   16.0  14:59    231
 20   86.8   93.7  13:42   82.4  06:07    0.0   21.8   0.00    6.5   18.1  16:52    229
 21   86.2   93.6  11:05   80.6  06:20    0.0   21.2   0.04    5.8   19.1  15:22    231
 22   86.3   94.1  12:34   79.5  06:23    0.0   21.3   0.00    5.4   15.5  18:23    224
 23   86.2   93.0  12:49   81.7  05:45    0.0   21.2   0.00    5.5   14.0  16:26    223
 24   83.0   93.2  14:56   74.5  06:13    0.0   18.0   0.06    3.5   15.5  17:31    229
 25   83.5   92.8  12:41   74.7  04:34    0.0   18.5   0.00    3.7   14.0  17:15    225
 26   85.0   93.4  13:34   75.6  06:35    0.0   20.0   0.00    4.5   16.0  17:12    226
 27   86.1   94.8  10:34   79.2  06:32    0.0   21.1   0.00    5.3   16.0  16:23    230
 28   85.6   92.5  13:52   80.6  00:00    0.0   20.6   0.24    5.3   15.5  15:30    231
 29   81.0   83.7  10:44   77.4  12:45    0.0   16.0   0.15    3.2   14.0  14:33    212
 30   83.1   91.0  13:38   75.9  04:24    0.0   18.1   0.00    4.7   16.0  17:10    229
 31   85.6   92.1  13:52   81.7  02:25    0.0   20.6   0.00    8.1   22.7  17:41    235
---------------------------------------------------------------------------------------
      83.3   95.2     04   71.1     02    0.0  567.6   1.59    5.0   28.3     09    220
    
