                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   85.7   93.7  12:03   77.5  07:13    0.0   20.7   0.02    2.7   10.4  14:03    219
 02   87.2   93.7  12:35   80.6  07:18    0.0   22.2   0.00    4.0   12.9  17:07    217
 03   89.4   95.7  12:42   85.1  23:35    0.0   24.4   0.00    5.7   16.0  20:43    228
 04   88.5   97.3  13:47   82.4  06:48    0.0   23.5   0.00    3.2   11.9  02:18    247
 05   83.0   91.9  13:25   76.6  06:02    0.0   18.0   0.00    4.7   16.0  16:13     37
 06   80.6   89.8  13:14   75.2  23:55    0.0   15.6   0.00    5.8   16.5  18:07     41
 07   80.0   88.3  11:04   73.2  06:38    0.0   15.0   0.00    4.1   11.9  13:23     24
 08   80.0   90.1  10:55   76.6  19:08    0.0   15.0   0.73    4.3   14.5  16:36     37
 09   82.5   91.4  13:55   77.7  00:02    0.0   17.5   0.12    3.9   11.4  11:03     43
 10   82.3   86.5  16:01   79.7  10:45    0.0   17.3   0.21    2.4   11.4  15:53    171
 11   82.0   89.4  11:01   78.3  07:21    0.0   17.0   0.26    1.2    8.3  12:19     33
 12   78.4   81.9  12:57   74.7  23:30    0.0   13.4   0.06    6.8   17.0  12:38     41
 13   78.5   85.8  11:44   74.1  03:40    0.0   13.5   1.36    3.3   12.4  00:09     24
 14   80.9   89.2  13:26   75.4  23:37    0.0   15.9   0.00    4.9   15.5  22:56     35
 15   76.6   83.1  13:04   72.1  07:50    0.0   11.6   0.01    6.4   17.0  11:15     40
 16   78.8   88.0  12:05   71.6  06:35    0.0   13.8   0.00    5.2   14.0  09:00     78
 17   79.2   82.6  15:11   74.7  07:10    0.0   14.2   1.70    3.5   12.9  21:20    142
 18   77.0   84.6  10:30   71.4  23:51    0.0   12.0   0.24    5.5   21.1  18:08     14
 19   69.5   73.0  11:52   62.4  23:58    0.0    4.5   0.00    7.7   21.7  13:20     28
 20   68.0   77.2  12:18   60.4  02:28    0.0    3.0   0.00    9.3   27.3  13:23     35
 21   65.8   74.1  11:29   59.5  07:04    0.0    0.8   0.00    8.2   26.8  11:58     32
 22   63.4   74.8  16:34   54.5  21:55    1.6    0.0   0.00    3.1   13.5  09:50    334
 23   64.4   79.5  12:55   50.0  05:52    0.6    0.0   0.00    1.4    9.9  16:14    241
 24   69.4   79.9  13:57   61.2  02:52    0.0    4.4   0.00    1.5    6.8  11:08    194
 25   73.8   84.4  11:17   68.2  00:00    0.0    8.8   0.39    2.9    8.8  10:32    118
 26   77.7   85.6  15:49   72.1  00:00    0.0   12.7   0.24    3.0    9.3  03:55    179
 27   73.9   82.6  11:27   69.4  06:30    0.0    8.9   0.00    2.0    9.3  15:19    191
 28   76.5   85.6  12:58   71.1  07:41    0.0   11.5   0.00    2.3   10.4  15:14    192
 29   76.8   82.9  13:49   72.3  23:56    0.0   11.8   1.04    5.2   23.2  22:25    207
 30   69.6   78.3  16:29   58.8  23:55    0.0    4.6   0.31    1.9   10.4  03:58    284
---------------------------------------------------------------------------------------
      77.3   97.3     04   50.0     23    2.3  371.7   6.69    4.2   27.3     20     37
    
