                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   68.2   78.8  12:01   55.4  02:45    0.0    3.2   0.00    2.4   10.4  14:00    222
 02   67.4   73.6  15:52   62.6  07:45    0.0    2.4   0.00    4.2   14.5  08:57     22
 03   65.6   70.7  13:32   61.2  04:45    0.0    0.6   0.00    6.2   17.6  12:38     41
 04   64.4   65.8  01:40   63.0  20:09    0.6    0.0   0.45    5.4   17.6  06:32     18
 05   66.4   75.6  13:23   60.1  06:52    0.0    1.4   0.01    3.5   13.5  12:09     18
 06   67.5   77.5  15:06   60.3  07:13    0.0    2.5   0.00    3.1   10.9  10:35     52
 07   72.2   85.3  12:37   60.6  03:53    0.0    7.2   0.00    2.9   12.4  15:11    237
 08   72.7   85.3  15:30   63.5  07:09    0.0    7.7   0.00    2.8   11.9  10:34    345
 09   71.1   79.2  13:27   67.1  06:25    0.0    6.1   0.00    5.0   12.9  11:33     54
 10   75.9   83.5  12:54   67.1  01:55    0.0   10.9   0.00    3.2   10.9  12:57    195
 11   74.4   76.6  10:46   70.0  12:03    0.0    9.4   0.46    4.5   18.1  14:29    160
 12   79.4   87.3  13:01   74.1  05:45    0.0   14.4   0.00    3.1   12.4  14:07    219
 13   77.1   84.7  15:43   73.0  23:57    0.0   12.1   0.00    2.5    9.9  15:12    337
 14   71.0   78.1  12:51   60.1  23:59    0.0    6.0   0.00    3.4   11.4  10:24     38
 15   72.6   84.0  13:07   59.4  03:44    0.0    7.6   0.00    2.5   10.4  14:00    191
 16   73.6   83.8  09:47   61.0  23:29    0.0    8.6   0.18    3.1   14.5  23:12    263
 17   62.3   69.6  14:14   57.6  07:27    2.7    0.0   0.00    6.7   19.1  09:52     30
 18   68.7   80.2  13:03   58.6  00:00    0.0    3.7   0.00    4.8   15.5  09:58     42
 19   71.1   81.0  13:25   65.3  03:25    0.0    6.1   0.00    4.9   13.5  21:37     41
 20   74.1   84.2  14:32   67.5  08:04    0.0    9.1   0.00    3.4    9.3  00:19     48
 21   76.2   87.3  13:04   70.3  05:40    0.0   11.2   0.00    2.3   13.5  14:15     66
 22   75.9   84.4  13:28   70.9  07:15    0.0   10.9   0.00    4.1   12.4  13:51     47
 23   75.7   83.8  15:01   70.9  23:57    0.0   10.7   0.00    3.6    9.9  15:30     45
 24   73.8   83.8  11:46   65.5  07:53    0.0    8.8   0.00    1.7    9.3  14:59    206
 25   72.3   76.3  15:44   68.0  00:40    0.0    7.3   1.98    3.0   12.4  13:45     32
 26   68.1   75.2  16:29   62.8  07:21    0.0    3.1   0.00    3.0   10.4  03:21    331
 27   69.8   79.3  13:21   63.7  07:29    0.0    4.8   0.02    1.6    9.3  12:54     56
 28   70.9   82.8  12:05   60.6  06:27    0.0    5.9   0.00    1.5    8.8  14:33    212
 29   78.2   84.4  15:33   69.4  01:43    0.0   13.2   0.00    7.3   22.2  14:59    220
 30   76.6   80.8  01:54   58.6  23:50    0.0   11.6   0.02    7.6   23.7  02:24    235
 31   60.9   68.7  13:21   55.0  07:37    4.1    0.0   0.00    6.4   17.6  01:19     44
---------------------------------------------------------------------------------------
      71.7   87.3     12   55.0     31    7.5  206.5   3.12    3.7   23.7     30     37
    
