                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2020


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   67.0   79.9  12:17   59.4  00:12    0.0    2.0   0.57    4.6   17.0  14:15    206
 02   47.8   59.7  00:30   37.6  22:09   17.2    0.0   0.00    4.3   20.1  04:32    315
 03   50.2   66.7  14:09   38.8  00:40   14.8    0.0   0.00    1.9    9.9  10:48    291
 04   57.3   73.0  14:18   41.0  04:52    7.7    0.0   0.00    2.2    7.3  11:26     56
 05   66.8   78.6  12:20   58.1  00:05    0.0    1.8   0.00    4.1   10.9  09:56     49
 06   67.7   75.0  14:41   62.8  23:55    0.0    2.7   0.00    3.9   12.9  09:52     42
 07   68.2   80.6  12:11   61.0  06:24    0.0    3.2   0.00    4.4   12.4  13:21     45
 08   69.6   80.1  11:59   63.3  01:25    0.0    4.6   0.00    5.8   14.0  13:45     51
 09   69.6   79.5  12:54   64.6  02:25    0.0    4.6   0.07    4.3   11.9  12:50     54
 10   71.4   80.4  10:32   62.8  03:45    0.0    6.4   0.00    2.6   10.4  13:38    162
 11   75.2   80.4  10:11   70.9  02:27    0.0   10.2   0.00    6.2   14.5  11:15    197
 12   71.4   78.1  12:32   64.0  18:31    0.0    6.4   2.46    7.7   16.5  07:41    194
 13   63.5   68.7  14:16   54.0  23:54    1.5    0.0   0.01    3.3   14.0  04:33    324
 14   60.2   70.3  14:09   51.6  03:15    4.8    0.0   0.00    3.2   11.4  09:20     53
 15   68.2   75.7  11:11   57.6  00:15    0.0    3.2   0.00    6.2   16.5  19:34    204
 16   59.6   72.3  00:17   44.8  22:40    5.4    0.0   0.00    2.8   14.0  09:18    319
 17   54.1   68.9  13:01   42.6  06:55   10.9    0.0   0.00    2.9   11.9  16:44    299
 18   44.5   51.6  12:16   38.3  22:56   20.5    0.0   0.00    4.2   19.6  08:59    358
 19   47.1   60.1  14:47   34.0  02:49   17.9    0.0   0.00    2.3   11.4  10:41     25
 20   55.7   73.2  12:03   42.3  01:35    9.3    0.0   0.00    1.0    6.3  13:26    196
 21   58.1   74.8  14:57   46.0  03:35    6.9    0.0   0.00    0.9    6.8  11:59    277
 22   61.0   72.5  14:09   51.1  00:08    4.0    0.0   0.29    3.3   12.9  16:04     46
 23   61.7   69.3  12:01   48.0  23:57    3.3    0.0   0.22    3.5   14.0  12:25    328
 24   48.9   58.3  12:45   42.1  06:48   16.1    0.0   0.00    3.3   15.5  09:57     28
 25   58.5   68.5  14:54   44.8  01:00    6.5    0.0   0.00    3.6   12.9  23:57    110
 26   68.9   76.1  12:07   65.3  23:10    0.0    3.9   0.01    5.6   14.5  08:27    211
 27   65.3   73.9  11:53   56.7  23:59    0.0    0.3   0.99    1.8    8.3  14:23    234
 28   56.8   68.9  14:59   50.5  22:24    8.2    0.0   0.01    1.0    7.8  13:55    350
 29   59.2   68.5  13:00   46.9  05:49    5.8    0.0   0.22    3.6   11.9  11:00     65
 30   66.6   72.7  10:50   53.4  23:45    0.0    1.6   3.24    9.0   26.3  08:57    216
---------------------------------------------------------------------------------------
      61.3   80.6     07   34.0     19  160.8   50.8   8.09    3.8   26.3     30     16
    
