                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2021


NAME: Morehead City, NC                  
ELEV: 8 feet    LAT: 34-44.60 N    LONG: 076-43.23 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   56.0   66.0  00:00   50.7  08:28    9.0    0.0   0.47    6.0   20.1  01:46     50
 02   63.0   66.4  02:55   59.2  19:20    2.0    0.0   0.01    4.3   19.6  02:51    220
 03   61.8   70.7  14:06   50.7  23:56    3.2    0.0   0.03    3.7   15.5  07:08    255
 04   46.4   54.7  13:38   37.0  23:53   18.6    0.0   0.00    2.9   11.9  01:07    340
 05   42.4   52.2  12:32   34.0  05:43   22.6    0.0   0.03    0.7    4.7  10:37    333
 06   40.6   50.9  14:46   31.1  23:43   24.4    0.0   0.00    2.9   14.0  10:30    319
 07   40.2   51.6  13:38   30.4  01:32   24.8    0.0   0.00    2.2    9.9  10:07     52
 08   45.3   55.2  12:36   39.0  23:09   19.7    0.0   0.41    7.6   23.2  12:56     27
 09   39.2   50.9  13:41   30.7  23:13   25.8    0.0   0.02    3.9   12.9  01:43    317
 10   39.0   52.9  15:05   29.8  02:10   26.0    0.0   0.00    2.0   14.0  10:09    344
 11   41.9   55.4  12:04   30.7  02:06   23.1    0.0   0.16    2.5    8.8  19:28     37
 12   45.5   49.8  11:28   36.5  23:55   19.5    0.0   0.50    3.8   12.4  11:20     32
 13   44.1   57.7  13:40   33.4  06:25   20.9    0.0   0.00    1.4    9.3  13:45    222
 14   45.0   54.0  15:28   37.9  22:14   20.0    0.0   0.11    1.8   10.9  09:19    284
 15   48.3   63.0  14:57   33.8  07:01   16.7    0.0   0.16    1.9   12.4  11:40    215
 16   46.1   53.2  11:57   38.3  19:36   18.9    0.0   0.22    4.2   22.7  13:19    254
 17   42.7   51.1  13:46   30.9  06:30   22.3    0.0   0.00    3.4   12.9  13:33    243
 18   45.8   59.2  14:34   34.0  23:10   19.2    0.0   0.00    2.5   15.0  11:22    264
 19   45.6   56.8  14:05   30.2  07:06   19.4    0.0   0.00    3.7   17.0  14:36    233
 20   50.8   60.6  11:47   32.7  23:55   14.2    0.0   0.00    4.2   16.0  05:09    277
 21   47.6   58.5  09:59   32.5  00:00   17.4    0.0   0.00    3.2   16.5  11:42    240
 22   48.4   57.0  12:40   42.4  03:56   16.6    0.0   0.00    2.2    9.3  05:11    276
 23   42.6   52.9  14:29   30.7  23:58   22.4    0.0   0.00    3.4   15.5  16:14    324
 24   38.3   49.3  14:02   27.1  01:13   26.7    0.0   0.00    2.4   10.4  08:57     22
 25   46.0   51.8  20:03   40.8  04:52   19.0    0.0   0.45    3.0    9.3  05:18     48
 26   53.4   63.9  15:15   46.8  07:15   11.6    0.0   0.21    2.4   10.9  12:11    233
 27   50.3   56.3  00:00   43.0  23:57   14.7    0.0   0.23    3.9   15.0  21:53     40
 28   37.2   43.0  00:00   30.4  23:30   27.8    0.0   0.57    7.6   24.2  11:10    331
 29   33.0   42.3  15:27   26.8  23:30   32.0    0.0   0.00    3.5   16.5  09:23    326
 30   34.7   45.5  14:30   23.4  03:16   30.3    0.0   0.00    2.6   11.4  09:47     42
 31   49.9   57.4  15:15   37.6  04:44   15.1    0.0   1.71    4.2   17.0  11:20    182
---------------------------------------------------------------------------------------
      45.5   70.7     03   23.4     30  604.1    0.0   5.29    3.4   24.2     28    314
    
